          gre       gpa  rank_1  rank_2  rank_3  rank_4
151 -1.624876 -0.026014       0       1       0       0
301  0.625884  0.552071       0       0       1       0
273  0.625884 -0.183673       1       0       0       0
108 -1.624876 -1.208461       0       0       1       0
282  0.625884  0.157922       0       0       0       1
259  0.452749  1.103880       0       1       0       0
342 -0.759199  1.471752       0       0       0       1
358 -0.239793  0.788561       0       0       1       0
345 -0.759199 -0.945695       0       0       1       0
350  1.664697  1.603135       0       1       0       0
36  -0.066657 -0.367610       1       0       0       0
330  1.318426  1.603135       0       0       1       0
299  1.145291  0.026539       0       0       1       0
158  0.625884  0.263029       0       1       0       0
373  0.279614 -0.052290       1       0       0       0
0   -1.798011  0.578348       0       0       1       0
41  -0.066657 -0.183673       0       1       0       0
34  -1.971146 -0.656652       1       0       0       0
398  0.972155  0.683454       0       1       0       0
355  1.491561 -1.523780       1       0       0       0
68  -0.066657  0.788561       1       0       0       0
10   1.837832  1.603135       0       0       0       1
394 -1.105469  1.576859       0       0       1       0
237 -0.932334  1.603135       0       1       0       0
189 -0.759199 -0.104844       0       1       0       0
363 -1.105469  0.131646       0       1       0       0
324 -0.586063 -1.812822       0       0       1       0
257  0.279614  1.471752       0       0       1       0
193 -1.798011  0.525795       0       0       0       1
38  -0.759199 -0.682929       0       1       0       0
94   0.625884  0.131646       0       1       0       0
3    0.452749 -0.525269       0       0       0       1
327 -0.239793  0.236752       0       1       0       0
81   0.279614 -0.840588       0       1       0       0
125 -0.412928 -0.026014       0       0       0       1
370 -0.412928  0.998773       0       1       0       0
183 -0.412928  1.182710       0       1       0       0
387 -0.066657 -0.078567       0       1       0       0
305 -0.066657  0.184199       0       0       0       1
205  1.664697  1.077603       0       0       1       0
293  1.837832  1.524305       1       0       0       0
267  0.106478  0.657178       0       0       1       0
334 -1.105469  0.657178       0       0       1       0
49  -1.624876 -0.104844       0       0       1       0
306 -0.412928 -0.577822       1       0       0       0
339  0.625884  0.210476       0       0       1       0
65   0.106478  0.525795       0       1       0       0
308 -0.412928 -0.682929       0       1       0       0
67   0.279614 -0.236227       1       0       0       0
221  0.799020  1.576859       0       0       1       0
194  0.106478  0.210476       0       1       0       0
287  0.625884  0.814837       0       0       0       1
32   0.106478  0.026539       0       0       1       0
383  0.625884  1.603135       1       0       0       0
161  0.452749  0.289305       0       1       0       0
27  -0.586063  0.919944       0       0       0       1
310 -0.239793  1.603135       0       0       1       0
307 -0.066657  0.315582       0       1       0       0
1    0.625884  0.736008       0       0       1       0
227 -0.412928 -0.971971       0       0       0       1
144 -0.066657  0.026539       0       0       0       1
395  0.279614  1.603135       0       1       0       0
162  0.972155  0.446965       0       1       0       0
132 -0.066657  0.026539       0       1       0       0
254  1.318426  0.341859       0       0       0       1
245  1.837832  1.366646       0       0       1       0
295 -0.586063 -0.367610       0       0       1       0
18   1.837832  0.946220       0       1       0       0
171 -0.412928 -1.523780       0       0       1       0
5    1.491561 -1.024525       0       1       0       0
303  0.799020  1.550582       0       1       0       0
206  1.318426  0.394412       1       0       0       0
220 -0.412928 -0.288780       0       0       1       0
153 -0.066657  0.184199       0       0       1       0
64  -0.066657  1.603135       0       0       1       0
107 -0.932334 -0.682929       0       1       0       0
126  0.106478  0.394412       1       0       0       0
281 -1.971146 -0.315056       0       0       1       0
280  0.625884  1.445476       0       1       0       0
103 -0.412928  1.445476       0       0       1       0
58  -1.624876  0.683454       0       1       0       0
8   -0.412928  0.000263       0       0       1       0
33   1.837832  1.603135       0       0       1       0
71  -2.490553 -1.234737       0       0       0       1
121 -0.932334 -1.891652       0       1       0       0
322 -0.759199 -0.998248       0       0       0       1
181 -0.759199  1.287816       0       0       0       1
399  0.106478  1.314093       0       0       1       0
63   0.799020  1.208986       0       0       1       0
112 -1.971146 -1.024525       0       0       1       0
160  0.106478 -0.682929       0       1       0       0
382 -0.412928  0.315582       0       1       0       0
218 -1.105469 -1.077078       1       0       0       0
250  0.625884 -0.209950       0       0       0       1
230 -0.066657 -0.262503       0       0       0       1
348 -1.624876 -0.078567       0       1       0       0
286  1.837832 -0.446439       1       0       0       0
332 -1.451740 -1.129631       1       0       0       0
118  1.837832  0.814837       1       0       0       0
235  0.279614 -0.893142       0       1       0       0
325  0.799020  1.340369       1       0       0       0
371  0.799020  0.972497       0       0       1       0
137  0.972155  1.603135       0       0       1       0
28   1.664697 -0.446439       0       1       0       0
346  0.106478 -0.104844       0       1       0       0
271 -0.412928 -0.157397       0       0       1       0
338 -0.412928 -0.498993       1       0       0       0
240 -1.278605 -1.655163       0       1       0       0
